,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,last_flag,attack_class,attack_1_VS_All,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_buffer_overflow,attack_ftp_write,attack_guess_passwd,attack_imap,attack_ipsweep,attack_land,attack_loadmodule,attack_multihop,attack_neptune,attack_nmap,attack_normal,attack_perl,attack_phf,attack_pod,attack_portsweep,attack_rootkit,attack_satan,attack_smurf,attack_spy,attack_teardrop,attack_warezclient,attack_warezmaster
duration,1.0,0.22822974667787058,0.03796330643231618,,,,,,0.08390285926185259,,,,,,,,,,,-0.1986393901418775,-0.1319122775163361,-0.16892419826648708,-0.16847416825578004,0.06292553925657389,0.05981477651609692,0.16232847355778351,-0.02162204830869127,0.039698684489626254,-0.02817980517543993,-0.1441754680773267,-0.11370186046860019,0.3239685858217503,0.20243237302273423,-0.045046145419487434,-0.1591200666239519,-0.15838714503346485,0.05086728270569598,0.059699764008617685,-0.06936840513439055,-0.05624177209404585,-0.13620006785194033,-0.03985984359144902,0.10320596264591061,0.055312489402575944,-0.022011408020887073,-0.0010865281181292074,-0.00952598143209035,-0.0189290404159019,-0.02042583738651936,-0.016409951975128914,-0.016987400036633887,-0.015172431583851119,-0.015496105532029571,-0.015304864964365443,-0.038500047547282465,-0.013696112736567425,-0.053001992531815756,-0.04314754940903039,-0.01639961196181309,-0.015080909167207605,-0.013821408379077964,0.2613614967156377,-0.02402804866935397,-0.011637439348173751,-0.0010865281181289476,-0.015372956200011887,-0.16429523914061644,-0.0007682883508141465,-0.017195692073293245,-0.0010865281181261072,-0.01671917960917005,-0.019262755290404537,-0.015429615924638426,-0.01259718359494628,-0.015581969398965907,-0.0156589521563355,-0.01256129804048472,-0.014673198883944147,-0.014912270838675086,-0.014428086984859654,-0.013188287045495836,-0.013359622862965197,-0.012994827552103126,-0.01884691498825051,-0.009521608933528249,0.007623517539016576,0.3179666780186989,-0.0017179722544342403,-0.0012827075650166703,0.017447100481756718,-0.003457355859835194,-0.04572838429997811,-0.0021731079894509444,-0.0050671930334006835,-0.005816570161472962,0.003979561452696761,0.20807621199151413,-0.01067751061993376,-0.00356304644938237,-0.012525371751761978,-0.016914019159970057,-0.01541801239536448,0.17812715322855965,-0.0013307250221786448,-0.0021731079894506435,-0.005884666787299305,-0.002429627881627683,-0.018895611936231745,-0.02043277060854393,-0.018829469768954638,-0.018272597300307194,-0.01866099712111651,-0.0797044955027712,-0.005960657459708727,0.03202289976646192,0.30617659905760103,-0.16863870590567956,-0.01469938085467536,0.016417470549292053,0.01979432885966999,0.11494697199414013,-0.012661198339065568,0.04460051876852166,0.015010554853745793,-0.00016907837809041292,0.004779000374200636,-0.03654044867630368,-0.0032597913794808666,0.02199652726292491,0.017485414260385964,-0.19011106687292464,-0.02986354599452506,0.13620006785194033,0.019714460241629293,0.010613896606471128,-0.010901024248268826,0.2448939469838835,0.020624858074005843,-0.030165866087818793,-0.03994175071691491,0.016096725491162464,-0.023027564919277287,0.06783765155084719,0.04139608474412607
src_bytes,0.22822974667787058,1.0,0.19187206092757186,,,,,,0.5099338801085247,,,,,,,,,,,-0.30255338549103455,-0.002768121604943236,-0.3647013946550489,-0.36374427945542787,-0.203533349315012,-0.19722397831709987,0.42337220999632497,-0.2314337197610026,0.1597630891866755,-0.20882864335647489,0.19137474857945677,0.23432932206695362,-0.10749053504718033,0.0547098675303427,-0.04768798822912876,-0.34864751908444686,-0.3597759193471728,-0.1902720407666173,-0.19906772368126674,0.0532541149586991,-0.327761920153843,-0.3531028553035156,0.07929806445101885,-0.1526942094714587,0.0459938447951863,-0.04948616069199653,-0.0023755258209640683,-0.051551093800777055,-0.044884374905319394,-0.04564106099700247,-0.039298648587448276,-0.039945221781385015,-0.03841801997567482,-0.03857982687255124,-0.03962919056115036,-0.1335693786902659,-0.035051402878889415,-0.10999534256594437,0.2622656299656403,-0.03706345996636677,-0.0366371309601119,-0.07007886673978513,0.12194948707334753,0.2649654333863447,-0.03830104683271696,-0.0023755258209626263,-0.036091966036110944,0.05260932524731533,-0.001679743749717088,-0.03875205741904819,-0.002375525820965638,-0.04049403202054186,-0.04414732763941706,-0.03501294259060032,-0.02907948189573363,-0.03406756809255711,-0.03667790405571886,-0.03475405708534461,-0.035255539197725484,-0.03573586047309684,-0.033858167570471685,-0.03133283028855194,-0.03199796046528998,-0.03191602569185193,-0.042266888504794244,-0.028920249562697432,-0.017281899257517934,-0.020912139021934496,-0.0030441979312095338,-0.014828977634608808,-0.02192681531190737,-0.013940212692194474,-0.2634571836465843,-0.0028888098877951815,-0.01483881164607221,-0.015581780303697959,-0.012027107531679909,0.5560692854073697,-0.026317185947112517,-0.028316661177267836,-0.03282980066998459,-0.03926242114383753,-0.03675533386039142,-0.021731221575130976,-0.0028968923923888986,0.005581323475866574,-0.04306289748534785,-0.004380739528416091,-0.017441464761862084,-0.0470534804950871,-0.04421189566184575,-0.04182606742579577,-0.04434075580239915,-0.1865393687129858,-0.058107744598272205,-0.01177592903764623,-0.04145939721180148,-0.3686621853278734,0.03991953593728454,0.02005018531379543,0.02571378662439145,0.46589014000434104,-0.027681753538545815,0.028977306493371064,-0.000233419241019567,-0.005627655856253846,0.003502177520703119,-0.09833338346107415,-0.007127030091278136,-0.001742344975780532,0.003885905860092058,-0.4156639256127726,-0.05483330692140334,0.3531028553035156,0.00041996895263405226,-0.0026215054528377093,0.12670187194171065,-0.08993913315236672,0.0008659282298996598,-0.1010492157236187,0.2537730525312283,-0.0005899588356989117,-0.044274015913610104,0.11238508047299352,-0.005917249114428585
dst_bytes,0.03796330643231618,0.19187206092757186,1.0,,,,,,0.5444090082297555,,,,,,,,,,,-0.3244515827889905,-0.118397453815402,-0.2699253300577377,-0.26906123601597737,-0.15089871997885815,-0.14312070622162962,0.3461936586682204,-0.23526839091258783,0.019238987479961743,-0.26307747660634173,0.4235534447419281,0.4111170478051524,-0.20218263555124852,-0.1151463671350575,0.03197526785542359,-0.27591382691007,-0.27415080882273096,-0.15516236963842145,-0.13957233149704354,0.17127285756051397,-0.32911751381276805,-0.35830920853993387,0.206679001695499,-0.15523291327501434,0.04829374587244571,-0.0377838152955018,-0.0018137592223065118,-0.039428642270609805,-0.03427028327986589,-0.034848024119318546,-0.030005504056999897,-0.030499171203908552,-0.02933309599343808,-0.02981135354735367,-0.029024026907385245,-0.1156055757413396,-0.02676389625641011,-0.08847709612943384,-0.07202691247005576,-0.028298909141908794,-0.027974927038308124,-0.0511334431570129,0.03705363544444105,-0.10283967013778825,-0.029227504561495483,-0.0018137592223043553,-0.027557161731084075,0.5528908459270282,-0.0012825163550216022,-0.029587934135148715,-0.0018137592223084822,-0.031388505364638865,-0.03370753708252174,-0.026733314668163505,-0.02220305830524322,-0.026011237286470052,-0.02800453248031004,-0.02591272577702991,-0.02691853998234764,-0.02728527090198941,-0.025851630948527392,-0.023923509844137724,-0.024436577103659186,-0.024368785249232444,-0.03227157463290928,-0.022091127246610127,-0.015820634024912586,-0.0828226368990669,-0.0016122703685691488,-0.011286818266329296,0.006200317042072358,-0.010636898516718896,-0.20707375055121774,-0.0036276048370669214,-0.011330341102181998,-0.01189758203330178,-0.010301254772280125,-0.07184548922304715,-0.020094026142176074,-0.0195469042201911,-0.025071563839493407,-0.029977843930538327,-0.028063651080407613,0.07237053479736068,-0.0022214011225853256,-0.003627604837069203,-0.032867840602141506,-0.004055817703692484,-0.03154275516538582,-0.03592891905233537,-0.033756835692596375,-0.03193522228978937,-0.03385522225832395,-0.14242636191963642,-0.04340180897904029,-0.013021392220140576,-0.02170465262450786,-0.2815113598723428,0.09997309275212961,0.027953479085606168,0.008277085523371556,0.34481474055516126,-0.021135546213383503,0.02149953265897469,0.0018840584414394918,-0.007281263615669926,0.0023631270386781306,-0.07781576691662581,-0.0054416232573071465,0.007709859527486029,0.013403919387436364,-0.3174095177500983,-0.04984126079810345,0.35830920853993387,0.0033114586266164447,0.01867959805875998,-0.01819725871145945,-0.06962126252554265,0.007086808675725634,-0.07791246500045128,-0.0666754200917981,0.0003923323218831501,-0.03843783269121548,-0.006245834989732144,0.03629443065471759
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,0.08390285926185259,0.5099338801085247,0.5444090082297555,,,,,,1.0,,,,,,,,,,,-0.5779570559395322,-0.22451188980935205,-0.4919249950223618,-0.4901670065952917,-0.28751429575651566,-0.2835315069381296,0.6005900402807894,-0.3846466659941986,0.13107431058415228,-0.40177642591272494,0.6243645699931584,0.60405830600257,-0.2896386235679518,-0.16099393806460266,0.04844264754046163,-0.49147810664625896,-0.49326399544624566,-0.2759720966885723,-0.27280574136836444,0.38081438698149195,-0.6115675654746235,-0.6901707395792327,0.3853504617038202,-0.2974479368620821,0.010867765770842008,-0.0671730295795976,-0.0032245473607588906,-0.04228292854232626,-0.06092658283598906,-0.06195370522151699,-0.053344549665280086,-0.05422220369768789,-0.051898832692861246,-0.052750450392820954,-0.04579652541982586,-0.2250517224898189,-0.04730516247825095,-0.15729683593238977,-0.12805128026488932,-0.050310521740501025,-0.04973453810152608,-0.09652416148922786,0.06842209425261607,0.09094410837048897,-0.050732422791501426,-0.0032245473607546353,-0.04899182429343832,0.6995565752126235,-0.0022800902549991605,-0.05260218321836147,-0.0032245473607563197,-0.057010616951667106,-0.05992611830732277,-0.0475271679930841,-0.039473162798296955,-0.04624344042508062,-0.04978717141067559,-0.046470433331155955,-0.047856466276161774,-0.048508449849487344,-0.04595968821055068,-0.04253182538182824,-0.04314070895152113,-0.04332344734297304,-0.057373227675508516,-0.03759775914261839,-0.029572956231471846,-0.13038515863140648,-0.005098517752507941,-0.019490791165248305,0.029294665725454493,-0.018251157564690725,-0.37048965442621185,-0.006449248312213783,-0.0201433691132234,-0.021151824494109014,-0.016957693919911056,0.280871911838956,-0.03572367167972906,-0.03535265692208439,-0.04457286502770418,-0.05329537478774186,-0.04989227396429127,-0.01153053587516637,-0.003949263517951196,-0.0064492483122118825,-0.05778378030598941,-0.007210536057553099,-0.05607751385564214,-0.06325644423448726,-0.06001376263236692,-0.056775251909598985,-0.06018867677584898,-0.2532092153031259,-0.07058047724570744,-0.023149762879449597,-0.09341797557152678,-0.5004417804693294,0.05271872514156545,0.03362811332756156,0.019436068532510408,0.6417379072030742,-0.03757531260073668,0.01907148714901392,0.0057733980856424895,-0.015811147707062028,-0.005825232036475668,-0.13634665775189342,-0.009674256481661763,0.008524401728379016,0.002678309054209933,-0.56427640839869,-0.08862763587324861,0.6901707395792327,0.006030287415761585,0.006963203763972384,-0.0323515502109455,-0.12457920142571517,0.0018997590036078794,-0.13412115684480355,-0.11853726075644877,0.0008495710765809534,-0.06834013077608493,0.10423337693938237,-0.007620759823961599
num_compromised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
